,power_consumption,SmallProduction,BigProduction
105,5.850468164794008,10,20
106,5.804845505617978,10,20
107,5.74747191011236,10,20
108,5.702223782771536,10,20
109,5.670880149812734,10,20
110,5.577879213483146,10,20
111,5.66935861423221,10,20
112,5.746910112359551,10,20
113,5.653230337078652,10,20
114,5.585229400749064,10,20
115,5.585393258426967,10,20
116,5.610299625468165,10,20
117,5.676591760299625,10,20
118,5.642462546816479,10,20
119,5.6557818352059925,10,20
120,5.678698501872659,10,20
121,5.670997191011236,10,20
122,5.613810861423221,10,20
123,5.673501872659176,10,20
124,5.680805243445692,10,20
125,5.639630149812734,10,20
126,5.580594569288389,10,20
127,5.583918539325842,10,20
128,5.609878277153558,10,20
129,5.589747191011236,10,20
130,5.556320224719101,10,20
131,5.494218164794007,10,20
132,5.441221910112359,10,20
133,5.491643258426967,10,20
134,5.518937265917603,10,20
135,5.474227528089887,10,20
136,5.470177902621723,10,20
137,5.439068352059925,10,20
138,5.4717930711610485,10,20
139,5.579751872659176,10,20
140,5.495505617977528,10,20
141,5.397729400749064,10,20
142,5.4834035580524345,10,20
143,5.553932584269663,10,20
144,5.520505617977528,10,20
145,5.588717228464419,10,20
146,5.568656367041198,10,20
147,5.552668539325842,10,20
148,5.511025280898877,10,20
149,5.4684691011235955,10,20
150,5.411376404494382,10,20
151,5.5218632958801495,10,20
152,5.588272471910113,10,20
153,5.445458801498127,10,20
154,5.418071161048689,10,20
155,5.476661985018726,10,20
156,5.373876404494382,10,20
157,5.42123127340824,10,20
158,5.41816479400749,10,20
159,5.437617041198502,10,20
160,5.482303370786517,10,20
161,5.528651685393259,10,20
162,5.40126404494382,10,20
163,5.3894662921348315,10,20
164,5.43810861423221,10,20
165,5.386001872659176,10,20
166,5.413108614232209,10,20
167,5.38998127340824,10,20
168,5.46441947565543,10,20
169,5.488459737827715,10,20
170,5.426427902621723,10,20
171,5.324719101123595,10,20
172,5.333707865168539,10,20
173,5.449180711610487,10,20
174,5.429915730337078,10,20
175,5.450678838951311,10,20
176,5.46374063670412,10,20
177,5.34673225579761,10,20
178,5.355688202247191,10,20
179,5.356343632958802,10,20
180,5.388623595505618,10,20
181,5.432771535580525,10,20
182,5.407373595505618,10,20
